model,feature_num,baseline,kaggle_score,improvement,tuned,params
cb,"1, 4, 9, 10",0.77751,0.78708,0.00956,0,
cb,"1, 4, 9, 11",0.77751,0.79425,0.01673,0,
cb,"1, 4, 10, 11",0.77751,0.79425,0.01673,0,
cb,"1, 5, 6, 7",0.77751,0.77751,0.0,0,
cb,"1, 5, 6, 8",0.77751,0.7799,0.00239,0,
cb,"1, 5, 6, 9",0.77751,0.77751,0.0,0,
cb,"1, 5, 6, 10",0.77751,0.77751,0.0,0,
cb,"1, 5, 6, 11",0.77751,0.79425,0.01673,0,
cb,"1, 5, 7, 8",0.77751,0.78708,0.00956,0,
cb,"1, 5, 7, 9",0.77751,0.78468,0.00717,0,
cb,"1, 5, 7, 10",0.77751,0.78229,0.00478,0,
cb,"1, 5, 7, 11",0.77751,0.78468,0.00717,0,
cb,"1, 5, 8, 9",0.77751,0.78468,0.00717,0,
cb,"1, 5, 8, 10",0.77751,0.78229,0.00478,0,
cb,"1, 5, 8, 11",0.77751,0.78708,0.00956,0,
cb,"1, 5, 9, 10",0.77751,0.7799,0.00239,0,
cb,"1, 5, 9, 11",0.77751,0.78947,0.01195,0,
cb,"1, 5, 10, 11",0.77751,0.78947,0.01195,0,
cb,"1, 6, 7, 8",0.77751,0.78947,0.01195,0,
cb,"1, 6, 7, 9",0.77751,0.78947,0.01195,0,
cb,"1, 6, 7, 10",0.77751,0.78947,0.01195,0,
cb,"1, 6, 7, 11",0.77751,0.79186,0.01434,0,
cb,"1, 6, 8, 9",0.77751,0.78947,0.01195,0,
cb,"1, 6, 8, 10",0.77751,0.78947,0.01195,0,
cb,"1, 6, 8, 11",0.77751,0.79425,0.01673,0,
cb,"1, 6, 9, 10",0.77751,0.78947,0.01195,0,
cb,"1, 6, 9, 11",0.77751,0.79665,0.01913,0,
cb,"1, 6, 10, 11",0.77751,0.79425,0.01673,0,
cb,"1, 7, 8, 9",0.77751,0.78708,0.00956,0,
cb,"1, 7, 8, 10",0.77751,0.78708,0.00956,0,
cb,"1, 7, 8, 11",0.77751,0.79425,0.01673,0,
cb,"1, 7, 9, 10",0.77751,0.78708,0.00956,0,
cb,"1, 7, 9, 11",0.77751,0.79425,0.01673,0,
cb,"1, 7, 10, 11",0.77751,0.79425,0.01673,0,
cb,"1, 8, 9, 10",0.77751,0.78708,0.00956,0,
cb,"1, 8, 9, 11",0.77751,0.79425,0.01673,0,
cb,"1, 8, 10, 11",0.77751,0.79186,0.01434,0,
cb,"1, 9, 10, 11",0.77751,0.79665,0.01913,0,
cb,"2, 3, 4, 5",0.77751,0.77272,-0.00479,0,
cb,"2, 3, 4, 6",0.77751,0.76555,-0.01196,0,
cb,"2, 3, 4, 7",0.77751,0.77511,-0.0024,0,
cb,"2, 3, 4, 8",0.77751,0.77511,-0.0024,0,
cb,"2, 3, 4, 9",0.77751,0.77511,-0.0024,0,
cb,"2, 3, 4, 10",0.77751,0.77511,-0.0024,0,
cb,"2, 3, 4, 11",0.77751,0.78708,0.00956,0,
cb,"2, 3, 5, 6",0.77751,0.76315,-0.01436,0,
cb,"2, 3, 5, 7",0.77751,0.78229,0.00478,0,
cb,"2, 3, 5, 8",0.77751,0.77511,-0.0024,0,
cb,"2, 3, 5, 9",0.77751,0.78229,0.00478,0,
cb,"2, 3, 5, 10",0.77751,0.78229,0.00478,0,
cb,"2, 3, 5, 11",0.77751,0.78468,0.00717,0,
cb,"2, 3, 6, 7",0.77751,0.76794,-0.00957,0,
cb,"2, 3, 6, 8",0.77751,0.77033,-0.00718,0,
cb,"2, 3, 6, 9",0.77751,0.7799,0.00239,0,
cb,"2, 3, 6, 10",0.77751,0.76315,-0.01436,0,
cb,"2, 3, 6, 11",0.77751,0.78468,0.00717,0,
cb,"2, 3, 7, 8",0.77751,0.77511,-0.0024,0,
cb,"2, 3, 7, 9",0.77751,0.77751,0.0,0,
cb,"2, 3, 7, 10",0.77751,0.77033,-0.00718,0,
cb,"2, 3, 7, 11",0.77751,0.78468,0.00717,0,
cb,"2, 3, 8, 9",0.77751,0.77511,-0.0024,0,
cb,"2, 3, 8, 10",0.77751,0.77511,-0.0024,0,
cb,"2, 3, 8, 11",0.77751,0.78229,0.00478,0,
cb,"2, 3, 9, 10",0.77751,0.77751,0.0,0,
cb,"2, 3, 9, 11",0.77751,0.78708,0.00956,0,
cb,"2, 3, 10, 11",0.77751,0.78229,0.00478,0,
cb,"2, 4, 5, 6",0.77751,0.76794,-0.00957,0,
cb,"2, 4, 5, 7",0.77751,0.77751,0.0,0,
cb,"2, 4, 5, 8",0.77751,0.77272,-0.00479,0,
cb,"2, 4, 5, 9",0.77751,0.77272,-0.00479,0,
cb,"2, 4, 5, 10",0.77751,0.77272,-0.00479,0,
cb,"2, 4, 5, 11",0.77751,0.7799,0.00239,0,
cb,"2, 4, 6, 7",0.77751,0.76555,-0.01196,0,
cb,"2, 4, 6, 8",0.77751,0.76555,-0.01196,0,
cb,"2, 4, 6, 9",0.77751,0.76555,-0.01196,0,
cb,"2, 4, 6, 10",0.77751,0.76555,-0.01196,0,
cb,"2, 4, 6, 11",0.77751,0.7799,0.00239,0,
cb,"2, 4, 7, 8",0.77751,0.77511,-0.0024,0,
cb,"2, 4, 7, 9",0.77751,0.77511,-0.0024,0,
cb,"2, 4, 7, 10",0.77751,0.77511,-0.0024,0,
cb,"2, 4, 7, 11",0.77751,0.78468,0.00717,0,
cb,"2, 4, 8, 9",0.77751,0.77511,-0.0024,0,
cb,"2, 4, 8, 10",0.77751,0.77511,-0.0024,0,
cb,"2, 4, 8, 11",0.77751,0.7799,0.00239,0,
cb,"2, 4, 9, 10",0.77751,0.77511,-0.0024,0,
cb,"2, 4, 9, 11",0.77751,0.7799,0.00239,0,
cb,"2, 4, 10, 11",0.77751,0.7799,0.00239,0,
cb,"2, 5, 6, 7",0.77751,0.78468,0.00717,0,
cb,"2, 5, 6, 8",0.77751,0.76555,-0.01196,0,
cb,"2, 5, 6, 9",0.77751,0.77511,-0.0024,0,
cb,"2, 5, 6, 10",0.77751,0.76555,-0.01196,0,
cb,"2, 5, 6, 11",0.77751,0.79425,0.01673,0,
cb,"2, 5, 7, 8",0.77751,0.77751,0.0,0,
cb,"2, 5, 7, 9",0.77751,0.78468,0.00717,0,
cb,"2, 5, 7, 10",0.77751,0.7799,0.00239,0,
cb,"2, 5, 7, 11",0.77751,0.78708,0.00956,0,
cb,"2, 5, 8, 9",0.77751,0.77511,-0.0024,0,
cb,"2, 5, 8, 10",0.77751,0.77511,-0.0024,0,
cb,"2, 5, 8, 11",0.77751,0.7799,0.00239,0,
cb,"2, 5, 9, 10",0.77751,0.78468,0.00717,0,
cb,"2, 5, 9, 11",0.77751,0.78468,0.00717,0,
cb,"2, 5, 10, 11",0.77751,0.78468,0.00717,0,
cb,"2, 6, 7, 8",0.77751,0.77033,-0.00718,0,
cb,"2, 6, 7, 9",0.77751,0.7799,0.00239,0,
cb,"2, 6, 7, 10",0.77751,0.76794,-0.00957,0,
cb,"2, 6, 7, 11",0.77751,0.78229,0.00478,0,
cb,"2, 6, 8, 9",0.77751,0.77033,-0.00718,0,
cb,"2, 6, 8, 10",0.77751,0.77033,-0.00718,0,
cb,"2, 6, 8, 11",0.77751,0.78468,0.00717,0,
cb,"2, 6, 9, 10",0.77751,0.77272,-0.00479,0,
cb,"2, 6, 9, 11",0.77751,0.78229,0.00478,0,
cb,"2, 6, 10, 11",0.77751,0.78468,0.00717,0,
cb,"2, 7, 8, 9",0.77751,0.77511,-0.0024,0,
cb,"2, 7, 8, 10",0.77751,0.77511,-0.0024,0,
cb,"2, 7, 8, 11",0.77751,0.7799,0.00239,0,
cb,"2, 7, 9, 10",0.77751,0.77751,0.0,0,
cb,"2, 7, 9, 11",0.77751,0.78708,0.00956,0,
cb,"2, 7, 10, 11",0.77751,0.7799,0.00239,0,
cb,"2, 8, 9, 10",0.77751,0.77511,-0.0024,0,
cb,"2, 8, 9, 11",0.77751,0.78229,0.00478,0,
cb,"2, 8, 10, 11",0.77751,0.78229,0.00478,0,
cb,"2, 9, 10, 11",0.77751,0.77751,0.0,0,
cb,"3, 4, 5, 6",0.77751,0.77272,-0.00479,0,
cb,"3, 4, 5, 7",0.77751,0.77751,0.0,0,
cb,"3, 4, 5, 8",0.77751,0.75837,-0.01914,0,
cb,"3, 4, 5, 9",0.77751,0.75837,-0.01914,0,
cb,"3, 4, 5, 10",0.77751,0.75837,-0.01914,0,
cb,"3, 4, 5, 11",0.77751,0.79186,0.01434,0,
cb,"3, 4, 6, 7",0.77751,0.76555,-0.01196,0,
cb,"3, 4, 6, 8",0.77751,0.76555,-0.01196,0,
cb,"3, 4, 6, 9",0.77751,0.76794,-0.00957,0,
cb,"3, 4, 6, 10",0.77751,0.76555,-0.01196,0,
cb,"3, 4, 6, 11",0.77751,0.79186,0.01434,0,
cb,"3, 4, 7, 8",0.77751,0.78468,0.00717,0,
cb,"3, 4, 7, 9",0.77751,0.78468,0.00717,0,
cb,"3, 4, 7, 10",0.77751,0.78468,0.00717,0,
cb,"3, 4, 7, 11",0.77751,0.79425,0.01673,0,
cb,"3, 4, 8, 9",0.77751,0.78468,0.00717,0,
